SH601258	2014-01-02	2017-07-02
SH601288	2014-01-02	2026-09-03
SH601298	2019-07-01	2025-01-01
SH601298	2025-10-09	2026-09-03
SH601299	2014-01-02	2015-05-31
SH601311	2014-01-02	2020-01-01
SH601318	2014-01-02	2026-09-03
SH601319	2019-07-01	2026-09-03
SH601326	2019-01-02	2020-06-30
SH601328	2014-01-02	2026-09-03
SH601333	2014-01-02	2023-07-02
SH601333	2025-07-01	2026-06-30
SH601336	2014-01-02	2026-09-03
SH601339	2014-01-02	2015-01-04
SH601360	2018-07-02	2026-09-03
SH601369	2014-01-02	2017-01-02
SH601375	2017-07-03	2018-07-01
SH601377	2014-01-02	2026-09-03
SH601388	2014-01-02	2015-06-30
SH601390	2014-01-02	2026-09-03
SH601398	2014-01-02	2026-09-03
SH601399	2024-07-01	2026-09-03
SH601456	2021-01-04	2026-09-03
SH601512	2020-07-01	2022-02-06
SH601515	2014-01-02	2017-01-02
SH601519	2014-01-02	2015-06-30
SH601555	2014-01-02	2026-09-03
SH601566	2014-01-02	2015-06-30
SH601567	2024-07-01	2025-06-30
SH601567	2026-01-05	2026-09-03
SH601568	2021-08-02	2026-01-04
SH601577	2019-07-01	2026-09-03
SH601588	2014-01-02	2014-06-30
SH601598	2019-02-01	2019-06-30
SH601598	2020-01-02	2026-09-03
SH601600	2014-01-02	2026-09-03
SH601601	2014-01-02	2026-09-03
SH601607	2014-01-02	2026-09-03
SH601608	2014-01-02	2026-09-03
SH601611	2017-01-03	2026-09-03
SH601615	2019-07-01	2026-09-03
SH601616	2014-01-02	2015-01-04
SH601618	2014-01-02	2026-09-03
SH601628	2014-01-02	2026-09-03
SH601633	2014-01-02	2026-09-03
SH601636	2014-01-02	2015-01-04
